,Name,Year,Global_Sales
172,Pokemon Pinball,1999.0,5.31
173,Assassin's Creed III,2012.0,5.3
174,Final Fantasy IX,2000.0,5.3
175,Final Fantasy X-2,2003.0,5.29
176,Donkey Kong 64,1999.0,5.27
177,Assassin's Creed II,2009.0,5.27
178,Professor Layton and the Curious Village,2007.0,5.26
179,Tomb Raider II,1997.0,5.24
180,Madden NFL 2004,,5.23
181,Dragon Quest VIII: Journey of the Cursed King,2004.0,5.21
182,Diablo III,2012.0,5.2
183,Super Mario Bros. 3,2003.0,5.2
184,New Super Mario Bros. U,2012.0,5.19
185,Super Mario Land 3: Wario Land,1994.0,5.19
186,FIFA Soccer 13,2012.0,5.18
187,The Legend of Zelda: Phantom Hourglass,2007.0,5.17
188,Donkey Kong Country 2: Diddy's Kong Quest,1995.0,5.15
189,Tomodachi Life,2013.0,5.15
190,Mario & Sonic at the Olympic Games,2008.0,5.14
191,Medal of Honor: Rising Sun,2003.0,5.13
192,Kirby's Dream Land,1992.0,5.13
193,Fable III,2010.0,5.13
194,Call of Duty: Advanced Warfare,2014.0,5.13
195,Microsoft Flight Simulator,1996.0,5.12
196,Guitar Hero II,2006.0,5.12
197,Resident Evil 5,2009.0,5.11
198,Grand Theft Auto V,2014.0,5.08
199,Grand Theft Auto: Vice City Stories,2006.0,5.08
200,FIFA Soccer 11,2010.0,5.08
201,Super Mario Bros.,1999.0,5.07
202,Resident Evil,1996.0,5.05
203,Tony Hawk's Pro Skater,1999.0,5.02
204,Super Smash Bros. for Wii U and 3DS,2014.0,5.02
205,Warzone 2100,1999.0,5.01
206,Spyro the Dragon,1998.0,5.0
207,Link's Crossbow Training,2007.0,5.0
208,Guitar Hero III: Legends of Rock,2007.0,4.98
209,Fallout 3,2008.0,4.96
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007.0,4.96
211,Uncharted: Drake's Fortune,2007.0,4.94
212,Madden NFL 06,2005.0,4.91
213,LEGO Star Wars: The Complete Saga,2007.0,4.9
214,Diddy Kong Racing,1997.0,4.88
215,Monster Hunter Freedom 3,2010.0,4.87
216,Dr. Mario,1990.0,4.85
217,God of War III,2010.0,4.84
218,StarCraft II: Wings of Liberty,2010.0,4.83
219,Assassin's Creed,2007.0,4.83
220,FIFA 15,2014.0,4.82
221,Crash Team Racing,1999.0,4.79
222,FIFA 17,2016.0,4.77
223,Batman: Arkham City,2011.0,4.76
224,Driver 2,2000.0,4.73
225,The Simpsons: Hit & Run,2003.0,4.7
226,Tony Hawk's Pro Skater 2,2000.0,4.68
227,Animal Crossing: City Folk,2008.0,4.68
228,The Lord of the Rings: The Two Towers,2002.0,4.67
229,Forza Motorsport 4,2011.0,4.64
230,Tomb Raider,1996.0,4.63
231,Guitar Hero III: Legends of Rock,2007.0,4.62
232,The Legend of Zelda: A Link to the Past,1991.0,4.61
233,The Legend of Zelda: The Wind Waker,2002.0,4.6
234,Mario & Sonic at the Olympic Winter Games,2009.0,4.58
235,Luigi's Mansion: Dark Moon,2013.0,4.58
236,Splatoon,2015.0,4.57
237,The Last of Us,2014.0,4.55
238,Guitar Hero III: Legends of Rock,2007.0,4.53
239,Madden NFL 2005,2004.0,4.53
240,Pitfall!,1981.0,4.5
241,Madden NFL 07,2006.0,4.49
242,Spider-Man: The Movie,2002.0,4.48
243,Dragon Quest VII: Warriors of Eden,2000.0,4.47
244,Uncharted: The Nathan Drake Collection,2015.0,4.47
245,Call of Duty: Advanced Warfare,2014.0,4.45
246,God of War,2005.0,4.45
247,Nintendo Land,2012.0,4.44
248,Michael Jackson: The Experience,2010.0,4.42
249,Tony Hawk's Pro Skater 3,2001.0,4.41
250,Winning Eleven: Pro Evolution Soccer 2007,2006.0,4.39
251,The Elder Scrolls IV: Oblivion,2006.0,4.39
252,Zelda II: The Adventure of Link,1987.0,4.38
253,Need for Speed: Most Wanted,2005.0,4.37
254,Resistance: Fall of Man,2006.0,4.35
255,Sonic the Hedgehog,1991.0,4.34
256,Kingdom Hearts II,2005.0,4.33
257,FIFA 14,2013.0,4.31
258,Call of Duty: Advanced Warfare,2014.0,4.31
259,Asteroids,1980.0,4.31
260,Fable II,2008.0,4.31
261,Halo 5: Guardians,2015.0,4.26
262,Super Mario 3D World,2013.0,4.25
263,Batman: Arkham Asylum,2009.0,4.25
264,Assassin's Creed: Revelations,2011.0,4.24
265,Namco Museum,2001.0,4.24
266,Metal Gear Solid 3: Snake Eater,2004.0,4.23
267,Daxter,2006.0,4.22
268,Warcraft II: Tides of Darkness,1995.0,4.21
269,The Legend of Zelda: Ocarina of Time,2011.0,4.21
270,FIFA Soccer 06,2005.0,4.21
271,EyeToy Play,2003.0,4.2
272,Uncharted 4: A Thief's End,2016.0,4.2
273,Gran Turismo 5 Prologue,2007.0,4.2
274,Assassin's Creed: Revelations,2011.0,4.19
275,Street Fighter IV,2009.0,4.19
276,FIFA 12,2011.0,4.19
277,Teenage Mutant Ninja Turtles,1989.0,4.17
278,Excitebike,1984.0,4.16
279,Frogger,1997.0,4.16
280,Madden NFL 2003,2002.0,4.14
281,Watch Dogs,2014.0,4.14
282,Half-Life,1997.0,4.12
283,Super Mario World 2: Yoshi's Island,1995.0,4.12
284,FIFA Soccer 07,2006.0,4.11
285,The Legend of Zelda: Skyward Sword,2011.0,4.1
286,Street Fighter II Turbo,1992.0,4.1
287,Carnival Games,2007.0,4.1
288,Fallout 4,2015.0,4.09
289,World of Warcraft: The Burning Crusade,2007.0,4.09
290,Fallout: New Vegas,2010.0,4.08
291,God of War II,2007.0,4.07
292,Forza Motorsport 2,2007.0,4.06
293,World Soccer Winning Eleven 9,2005.0,4.06
294,Namco Museum Vol.3,1996.0,4.05
295,Tekken Tag Tournament,2000.0,4.05
296,Far Cry 4,2014.0,4.03
297,Star Fox 64,1997.0,4.03
298,Minecraft,2014.0,4.02
299,Golf,1984.0,4.01
300,Fallout 3,2008.0,4.01
301,Professor Layton and the Diabolical Box,2007.0,4.0
302,Left 4 Dead 2,2009.0,3.99
303,Namco Museum: 50th Anniversary,2005.0,3.98
304,EA Sports Active,2009.0,3.92
305,Assassin's Creed: Unity,2014.0,3.92
306,Donkey Kong Land,1994.0,3.91
307,Tony Hawk's Underground,2003.0,3.9
308,Assassin's Creed IV: Black Flag,2013.0,3.89
309,Monster Hunter 4 Ultimate,2014.0,3.89
310,MotorStorm,2006.0,3.88
311,The Elder Scrolls V: Skyrim,2011.0,3.88
312,Tekken 5,2005.0,3.87
313,Dragon Warrior III,1988.0,3.87
314,Sports Champions,2010.0,3.87
315,NBA 2K16,2015.0,3.85
316,World Soccer Winning Eleven 8 International,2004.0,3.85
317,Flash Focus: Vision Training in Minutes a Day,2007.0,3.84
318,Namco Museum Vol.1,1995.0,3.84
319,The Legend of Zelda: Link's Awakening,1992.0,3.83
320,Mario & Luigi: Bowser's Inside Story,2009.0,3.83
321,Big Brain Academy: Wii Degree,2007.0,3.82
322,Nintendogs + cats,2011.0,3.81
323,Batman: Arkham Knight,2015.0,3.79
324,Mario & Sonic at the London 2012 Olympic Games,2011.0,3.78
325,LEGO Indiana Jones: The Original Adventures,2008.0,3.78
326,Resident Evil Director's Cut,1996.0,3.77
327,Ratchet & Clank: Size Matters,2007.0,3.77
328,Just Dance 2014,2013.0,3.76
329,The Sims: Unleashed,2002.0,3.76
330,Super Paper Mario,2007.0,3.76
331,Harry Potter and the Sorcerer's Stone,2001.0,3.73
332,The Witcher 3: Wild Hunt,2015.0,3.73
333,Resident Evil 3: Nemesis,1999.0,3.72
334,Spyro: Year of the Dragon,2000.0,3.71
335,FIFA Soccer 2005,2004.0,3.7
336,Pokémon Trading Card Game,1998.0,3.7
337,Battlefield 4,2013.0,3.69
338,MySims,2007.0,3.69
339,Friend Collection,2009.0,3.67
340,Tony Hawk's Pro Skater 4,2002.0,3.67
341,Midnight Club 3: DUB Edition,2005.0,3.66
342,Banjo-Kazooie,1998.0,3.65
343,SOCOM: U.S. Navy SEALs,2002.0,3.65
344,Guitar Hero: World Tour,2008.0,3.65
345,Gran Turismo 6,2013.0,3.64
346,Jak and Daxter: The Precursor Legacy,2001.0,3.64
347,Pokemon Snap,1999.0,3.63
348,FIFA Soccer 10,2009.0,3.63
349,Pro Evolution Soccer 2008,2007.0,3.63
350,Call of Duty: Ghosts,2013.0,3.63
351,Resident Evil 4,2005.0,3.62
352,Tom Clancy's The Division,2016.0,3.61
353,Star Wars: Battlefront,2004.0,3.61
354,Doom II: Hell on Earth,1994.0,3.61
355,The Simpsons: Road Rage,2001.0,3.61
356,Cooking Mama 2: Dinner With Friends,2007.0,3.61
357,Luigi's Mansion,2001.0,3.6
358,Star Wars: Battlefront II,2005.0,3.59
359,WWF SmackDown!,2000.0,3.58
360,Croc: Legend of the Gobbos,1997.0,3.56
361,Grand Theft Auto: Liberty City Stories,2006.0,3.54
362,The Getaway,2002.0,3.54
363,Tomb Raider III: Adventures of Lara Croft,1997.0,3.54
364,James Bond 007: Agent Under Fire,2001.0,3.53
365,LEGO Star Wars: The Video Game,2005.0,3.53
366,Battlefield 4,2013.0,3.53
367,FIFA Soccer 11,2010.0,3.53
368,Rugrats in Paris: The Movie,2000.0,3.52
369,Spyro 2: Ripto's Rage!,1999.0,3.52
370,Left 4 Dead,2008.0,3.52
371,Mario & Sonic at the Olympic Winter Games,2009.0,3.52
372,Resident Evil 5,2009.0,3.51
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996.0,3.51
374,Assassin's Creed: Brotherhood,2010.0,3.5
375,Kung Fu,1985.0,3.5
376,Batman: Arkham Asylum,2009.0,3.5
377,Clubhouse Games,2006.0,3.5
378,FIFA Soccer 2004,,3.49
379,Star Wars Battlefront (2015),2015.0,3.49
380,Battlefield: Bad Company 2,2010.0,3.48
381,Guitar Hero: On Tour,2008.0,3.48
382,Assassin's Creed: Unity,2014.0,3.46
383,Far Cry 3,2012.0,3.45
384,Monster Hunter 4,2013.0,3.44
385,Borderlands,2009.0,3.44
386,Tekken 4,2002.0,3.44
387,Battlefield 4,2013.0,3.43
388,LittleBigPlanet 2,2011.0,3.42
389,Grand Theft Auto 2,1998.0,3.42
390,Final Fantasy III,1994.0,3.42
391,Spider-Man 2,2004.0,3.41
392,F-1 Race,1990.0,3.41
393,FIFA Soccer 2003,2002.0,3.4
394,Crash Bash,2000.0,3.39
395,LEGO Batman: The Videogame,2008.0,3.38
396,Metal Gear Solid V: The Phantom Pain,2015.0,3.38
397,The Legend of Zelda: Spirit Tracks,2009.0,3.38
398,WWF War Zone,1998.0,3.36
399,The Legend of Zelda: Majora's Mask,2000.0,3.36
400,Professor Layton and the Unwound Future,2008.0,3.36
401,Rugrats: Search For Reptar,1998.0,3.34
402,Assassin's Creed IV: Black Flag,2013.0,3.34
403,English Training: Have Fun Improving Your Skills!,2006.0,3.33
404,James Bond 007: Nightfire,2002.0,3.33
405,Ratchet & Clank,2002.0,3.33
406,Mario Party 9,2012.0,3.32
407,Star Wars Episode III: Revenge of the Sith,2005.0,3.32
408,Max Payne,2001.0,3.31
409,The Lord of the Rings: The Return of the King,2003.0,3.28
410,Assassin's Creed Syndicate,2015.0,3.28
411,Destiny,2014.0,3.28
412,True Crime: Streets of LA,2003.0,3.27
413,Wii Music,2008.0,3.27
414,Gran Turismo (PSP),2009.0,3.27
415,Monster Hunter X,2015.0,3.26
416,Tekken,1995.0,3.24
417,FIFA 16,2015.0,3.23
418,L.A. Noire,2011.0,3.23
419,Madden NFL 16,2015.0,3.22
420,Yokai Watch 2 Ganso/Honke,2014.0,3.22
421,007: Tomorrow Never Dies,1999.0,3.21
422,Baseball,1983.0,3.2
423,Killer Instinct,1995.0,3.2
424,WWF SmackDown! 2: Know Your Role,2000.0,3.2
425,Crisis Core: Final Fantasy VII,2007.0,3.19
426,God of War: Chains of Olympus,2008.0,3.19
427,Dragon Quest VI: Maboroshi no Daichi,1995.0,3.19
428,Dance Central,2010.0,3.19
429,Enter the Matrix,2003.0,3.18
430,Super Mario Maker,2015.0,3.18
431,Fallout: New Vegas,2010.0,3.17
432,LEGO Batman: The Videogame,,3.17
433,Rhythm Heaven,2008.0,3.17
434,Ace Combat 04: Shattered Skies,2001.0,3.17
435,Club Penguin: Elite Penguin Force,2008.0,3.16
436,Animal Crossing,2001.0,3.15
437,LEGO Batman: The Videogame,2008.0,3.15
438,Sonic Rush,2005.0,3.15
439,Resident Evil 6,2012.0,3.15
440,Halo: The Master Chief Collection,2014.0,3.15
441,FIFA Soccer 08,2007.0,3.14
442,Spider-Man,2000.0,3.13
443,Need for Speed III: Hot Pursuit,1998.0,3.12
444,Star Wars Episode I Racer,1999.0,3.12
445,Personal Trainer: Cooking,2006.0,3.12
446,The Elder Scrolls IV: Oblivion,2007.0,3.12
447,Dragon Warrior IV,1990.0,3.12
448,Heavy Rain,2010.0,3.12
449,Mass Effect 2,2010.0,3.11
450,FIFA 15,2014.0,3.11
451,Dragon Ball Z: Budokai,2002.0,3.09
452,Madden NFL 2002,2001.0,3.08
453,World Class Track Meet,1986.0,3.08
454,Borderlands 2,2012.0,3.07
455,The Legend of Zelda: A Link Between Worlds,2013.0,3.07
456,Donkey Kong,1994.0,3.07
457,The Sims: Vacation,2002.0,3.07
458,Mass Effect 3,2012.0,3.07
459,Kung Fu Panda,2008.0,3.05
460,Far Cry 3,2012.0,3.04
461,Epic Mickey,2010.0,3.04
462,Saints Row 2,2008.0,3.03
463,Rayman,1995.0,3.03
464,Killzone 2,2009.0,3.02
465,Tom Clancy's Splinter Cell,2002.0,3.02
466,Mike Tyson's Punch-Out!!,1987.0,3.02
467,WWE SmackDown! Shut Your Mouth,2002.0,3.02
468,Gears of War: Ultimate Edition,2015.0,3.0
469,NBA 2K13,2012.0,3.0
470,Dragon Ball Z: Budokai Tenkaichi 3,2007.0,3.0
471,wwe Smackdown vs. Raw 2006,,3.0
472,Middle-Earth: Shadow of Mordor,2014.0,2.99
473,Star Fox,1993.0,2.99
474,The Sims: Livin Large,2000.0,2.99
475,World Soccer Winning Eleven 6 International,2002.0,2.99
476,Devil May Cry,2001.0,2.99
477,Animal Crossing: Happy Home Designer,2015.0,2.98
478,Battlefield: Bad Company 2,2010.0,2.97
479,The Sims 4,2014.0,2.97
480,Star Wars: The Old Republic,2011.0,2.97
481,Sonic Heroes,2003.0,2.96
482,Kirby Super Star Ultra,2008.0,2.96
483,Hitman 2: Silent Assassin,2002.0,2.96
484,Street Fighter IV,2009.0,2.95
485,Wave Race 64,1996.0,2.94
486,SOCOM II: U.S. Navy SEALs,2003.0,2.94
487,WWE SmackDown! vs. RAW 2006,2005.0,2.94
488,inFAMOUS,2009.0,2.94
489,Pac-Man Collection,2001.0,2.94
490,Mass Effect,2007.0,2.93
491,WarioWare: Smooth Moves,2006.0,2.92
492,Cooking Mama: Cook Off,2007.0,2.91
493,Super Mario World 2: Yoshi's Island,2002.0,2.91
494,FIFA 14,2013.0,2.9
495,Titanfall,2014.0,2.9
496,Sonic Mega Collection Plus,2004.0,2.9
497,Sega Superstars Tennis,2008.0,2.9
498,World Soccer Winning Eleven 7 International,2003.0,2.9
499,Need for Speed: Most Wanted,2012.0,2.89
500,Hot Shots Golf 3,2001.0,2.89
501,Call of Duty: Finest Hour,2004.0,2.89
502,Zumba Fitness 2,2011.0,2.88
503,Syphon Filter,1999.0,2.88
504,Imagine: Babyz,2007.0,2.88
505,Colin McRae Rally,1998.0,2.87
506,Call of Duty: Ghosts,2013.0,2.86
507,Madden NFL 13,2012.0,2.86
508,The Elder Scrolls III: Morrowind,2002.0,2.86
509,Mortal Kombat,2011.0,2.85
510,F-Zero,1990.0,2.85
511,Yoshi's Story,1997.0,2.85
512,Command & Conquer: Red Alert,1996.0,2.85
513,Skylanders: Spyro's Adventure,2011.0,2.85
514,FIFA 16,2015.0,2.85
515,Assassin's Creed: Brotherhood,2010.0,2.84
516,BioShock,2007.0,2.83
517,Madden NFL 10,2009.0,2.83
518,Medal of Honor,2010.0,2.83
519,WWE SmackDown! vs. Raw,2002.0,2.83
520,Metroid Prime,2002.0,2.82
521,Finding Nemo,2003.0,2.82
522,Myst,1994.0,2.81
523,Need for Speed: Hot Pursuit,2010.0,2.81
524,Imagine: Fashion Designer,2007.0,2.81
525,WWE SmackDown! Here Comes the Pain,2003.0,2.8
526,Star Wars: The Force Unleashed,2008.0,2.8
527,Yoshi's Island DS,2006.0,2.8
528,Hot Shots Golf,1997.0,2.79
529,Killzone 3,2011.0,2.79
530,A Bug's Life,1998.0,2.79
531,WWF SmackDown! Just Bring It,2001.0,2.79
532,Dragon Quest V: Tenkuu no Hanayome,1992.0,2.79
533,Mortal Kombat Trilogy,1996.0,2.79
534,Battlefield 3,2011.0,2.79
535,NBA Street,2001.0,2.79
536,Professor Layton and the Last Specter,2009.0,2.79
537,Monster Hunter Tri,2011.0,2.79
538,Jak II,2003.0,2.78
539,inFAMOUS: Second Son,2014.0,2.78
540,Ratchet & Clank: Going Commando,2003.0,2.78
541,Tekken 6,2009.0,2.78
542,The Sims,2003.0,2.77
543,Sonic and the Secret Rings,2007.0,2.77
544,Saints Row: The Third,2011.0,2.77
545,Missile Command,1980.0,2.76
546,Mario Paint,1992.0,2.75
547,Assassin's Creed IV: Black Flag,2013.0,2.74
548,Pokémon Stadium 2,2000.0,2.73
549,Metroid,1986.0,2.73
550,L.A. Noire,2011.0,2.72
551,Call of Duty 3,2006.0,2.71
552,The Legend of Zelda: A Link to the Past,2002.0,2.7
553,Onimusha: Warlords,2001.0,2.7
554,Mortal Kombat X,2015.0,2.7
555,Mario Party,1998.0,2.7
556,Madden NFL 12,2011.0,2.69
557,LEGO Star Wars II: The Original Trilogy,2006.0,2.69
558,Madden NFL 11,2010.0,2.69
559,Mario vs. Donkey Kong: Mini-Land Mayhem!,2010.0,2.69
560,Skate 3,2010.0,2.68
561,Burnout 3: Takedown,2004.0,2.68
562,Yokai Watch 2 Shinuchi,2014.0,2.68
563,Need for Speed: Shift,2009.0,2.68
564,Final Fantasy XIII-2,2011.0,2.68
565,Mortal Kombat,1992.0,2.67
566,Call Of Duty 2: Big Red One,2005.0,2.67
567,Guitar Hero: World Tour,2008.0,2.67
568,Medal of Honor,1998.0,2.67
569,Fable,2004.0,2.66
570,Hannah Montana,2006.0,2.65
571,Tom Clancy's Splinter Cell,2003.0,2.65
572,Skylanders Giants,2012.0,2.65
573,Medal of Honor Heroes,2006.0,2.65
574,Super Mario Bros.: The Lost Levels,1986.0,2.65
575,Star Wars: Shadows of the Empire,1996.0,2.65
576,LEGO Star Wars: The Complete Saga,2007.0,2.64
577,Midnight Club: Street Racing,2000.0,2.63
578,Pac-Man: Adventures in Time,2006.0,2.63
579,Halo Wars,2009.0,2.63
580,God of War Collection,2009.0,2.63
581,ESPN NFL 2K5,2004.0,2.62
582,Mario Strikers Charged,2007.0,2.62
583,Medal of Honor,2010.0,2.62
584,FIFA Soccer 10,2009.0,2.62
585,NBA 2K12,2011.0,2.62
586,Style Savvy,2008.0,2.61
587,Harry Potter and the Chamber of Secrets,2002.0,2.61
588,Super Mario All-Stars: Limited Edition,2010.0,2.6
589,Streets of Rage,1990.0,2.6
590,FIFA Soccer 09,2008.0,2.59
591,Ratchet & Clank Future: Tools of Destruction,2007.0,2.59
592,NBA Live 2005,2004.0,2.59
593,LittleBigPlanet,2009.0,2.58
594,Killzone: Shadow Fall,2013.0,2.58
595,Ghostbusters: The Video Game (DS Version),2009.0,2.58
596,Monster Hunter Freedom 2,2007.0,2.58
597,WWE SmackDown vs. RAW 2007,2006.0,2.58
598,Ratchet & Clank: Up Your Arsenal,2004.0,2.57
599,Art Academy,2010.0,2.57
600,Dragon Age: Origins,2009.0,2.57
601,Madden NFL 08,2007.0,2.57
602,Sonic Adventure 2 Battle,2001.0,2.56
603,Dragon Warrior II,1987.0,2.56
604,Madden NFL 13,2012.0,2.56
605,Pokémon Colosseum,2003.0,2.54
606,Deca Sports,2008.0,2.54
607,Madden NFL 09,2008.0,2.54
608,Space Invaders,,2.53
